,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
2215,0.6012225307790561,0.9693940463278122,0.3681715155487555,1.516838307638195,0.73319389242975,2.4466718854037377,0.9,0.1,b1e93039-ffe4-48e7-af84-10d9c2e9456c-0,ENSMUSG00000027082,0.0,4,2,3,0,2,0,3,1.0,3,0,0,0,2,1,0,2,0,3,0,0,0.6010673049644307,0.6010673049644307,grey
431,0.4649284862719904,0.8495564653723524,0.3846279791003619,1.5286476404494087,0.8168419561814111,2.4847812874312933,0.9375,0.0625,ENSMUST00000002469-0,ENSMUSG00000002396,0.0,2,1,1,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0.6122558978956932,0.6122558978956932,grey
1843,0.4468479680513023,0.8322374101897282,0.3853894421384261,1.540044525737844,0.7756536077688477,2.571974349496789,0.9125,0.0875,ENSMUST00000154460-0,ENSMUSG00000021824,0.0,1,2,2,0,0,0,0,0.0,2,0,0,0,2,0,0,0,0,0,0,0,0.6229720626945663,0.6229720626945663,grey
1842,0.4468479680513023,0.8322374101897282,0.3853894421384261,1.540044525737844,0.7756536077688477,2.571974349496789,0.9125,0.0875,ENSMUST00000154460-0,ENSMUSG00000021824,0.0,1,2,2,0,0,0,0,0.0,2,0,0,0,2,0,0,0,0,0,0,0,0.6229720626945663,0.6229720626945663,grey
1087,0.4634833128386171,0.8606155088412286,0.3971321960026115,1.54944955221544,0.8270316727581979,2.389129318001775,0.9625,0.0375,ENSMUST00000044454,ENSMUSG00000039285,0.0,3,3,3,0,0,0,0,0.0,2,0,0,0,3,0,0,0,0,0,0,0,0.6317557836731361,0.6317557836731361,grey
1086,0.4634833128386171,0.8606155088412286,0.3971321960026115,1.54944955221544,0.8270316727581979,2.389129318001775,0.9625,0.0375,ENSMUST00000044454,ENSMUSG00000039285,0.0,3,3,3,0,0,0,0,0.0,2,0,0,0,3,0,0,0,0,0,0,0,0.6317557836731361,0.6317557836731361,grey
1088,0.4634833128386171,0.8606155088412286,0.3971321960026115,1.54944955221544,0.8270316727581979,2.389129318001775,0.9625,0.0375,ENSMUST00000044454,ENSMUSG00000039285,0.0,3,3,3,0,0,0,0,0.0,2,0,0,0,3,0,0,0,0,0,0,0,0.6317557836731361,0.6317557836731361,grey
599,0.4589383718937252,0.8594729842650496,0.4005346123713243,1.5565853599354649,0.8527139327967032,2.5174484166250277,0.935,0.065,ENSMUST00000021405-0,ENSMUSG00000021018,0.3254437869822485,4,2,2,0,0,0,0,0.0,1,0,0,1,2,0,0,0,0,0,0,0,0.6383846934013251,0.6383846934013251,grey
600,0.4589383718937252,0.8594729842650496,0.4005346123713243,1.5565853599354649,0.8527139327967032,2.5174484166250277,0.935,0.065,ENSMUST00000021405-0,ENSMUSG00000021018,0.3254437869822485,4,2,2,0,0,0,0,0.0,1,0,0,1,2,0,0,0,0,0,0,0,0.6383846934013251,0.6383846934013251,grey
3,0.4655014369612658,0.8639427357534814,0.3984412987922157,1.557217551622882,0.772602132215977,2.5364300737124466,0.94,0.06,02f6d08c-1e7d-4ee3-aba1-204fdab3f7b0-0,ENSMUSG00000020388,0.0049967412557028,3,1,2,0,0,0,0,0.0,1,0,1,1,1,1,0,0,0,0,0,1,0.638970510712674,0.638970510712674,grey
20,0.4641491247331097,0.8580225429778399,0.3938734182447302,1.5594904014920468,0.7669089193410827,2.67737129956211,0.9075,0.0925,0a2d2f05-ce42-4205-bf86-74ca8c97344d-0,ENSMUSG00000037373,0.000530828909759,5,2,2,0,0,0,1,0.0,1,0,2,1,2,0,0,0,0,1,0,2,0.6410746730952392,0.6410746730952392,grey
19,0.4641491247331097,0.8580225429778399,0.3938734182447302,1.5594904014920468,0.7669089193410827,2.67737129956211,0.9075,0.0925,0a2d2f05-ce42-4205-bf86-74ca8c97344d-0,ENSMUSG00000037373,0.000530828909759,5,2,2,0,0,0,1,0.0,1,0,2,1,2,0,0,0,0,1,0,2,0.6410746730952392,0.6410746730952392,grey
2287,0.6139593937932976,0.989303354157733,0.3753439603644355,1.5628403137507565,0.7930497397783216,2.906258696461797,0.8475,0.1525,cb237586-b427-4bea-a557-7ffd8e0f6113-0,ENSMUSG00000020076,0.0,4,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0.6441703756957542,0.6441703756957542,grey
2286,0.6139593937932976,0.989303354157733,0.3753439603644355,1.5628403137507565,0.7930497397783216,2.906258696461797,0.8475,0.1525,cb237586-b427-4bea-a557-7ffd8e0f6113-0,ENSMUSG00000020076,0.0,4,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0.6441703756957542,0.6441703756957542,grey
