,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
24,0.4909336011230469,5.350220193023507,4.859286591900453,2522.368143542082,2.46055361017886,3992.370352065169,1.0,0.0,333cfecf-25cf-458e-88a4-392c8b09ccfc-0,ENSMUSG00000034254,0.0,2,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,1,0,11.300563139274216,11.300563139274216,red
133,0.610283717685675,6.19957347699549,5.58928975930981,3210.587530025817,4.7030476973307085,14636.773528169258,1.0,0.0,ENSMUST00000168550-0,ENSMUSG00000025499,1.0,2,1,1,0,0,0,1,1.0,2,1,1,1,1,0,0,0,0,1,1,0,11.648621615995035,11.648621615995035,red
134,2.8204723277052794,8.57886319732076,5.758390869615485,3732.784113827444,3.087486669775472,14004.994057853994,1.0,0.0,ENSMUST00000169308,ENSMUSG00000025731,0.0,1,0,0,0,0,0,0,1.0,2,1,1,0,0,0,0,0,0,0,1,0,11.866036357214943,11.866036357214943,red
10,0.512550977991407,5.988413573870814,5.475862595879405,3875.059839568963,4.067801563200729,10537.15756503985,1.0,0.0,133d5d12-e51c-433a-bd6e-ed8cadf328df-0,ENSMUSG00000042660,0.0,1,0,0,0,1,0,0,0.0,1,1,1,0,0,0,0,1,0,0,1,0,11.920002873650981,11.920002873650981,red
45,0.7609994896260097,5.863255073322971,5.1022555836969605,4228.0220281112215,2.737781711252515,7304.1926152949,1.0,0.0,65230da1-b5e6-492f-9bf4-eda6d2df4b7a-0,ENSMUSG00000010376,0.0303763766186615,4,0,1,0,0,0,4,0.0,1,1,1,2,0,1,0,0,0,4,1,0,12.045767177883164,12.045767177883164,red
176,0.5979415000704728,6.294815209991474,5.696873709920994,4417.337457116316,4.114319363524892,17334.43747600792,1.0,0.0,af578e1b-4cbb-46ab-bf1c-c29dfa4d9142-0,ENSMUSG00000071172,1.0,3,0,1,0,0,0,1,0.0,1,2,2,2,0,1,0,0,0,1,2,0,12.108961334181126,12.108961334181126,red
175,0.5979415000704728,6.294815209991474,5.696873709920994,4417.337457116316,4.114319363524892,17334.43747600792,1.0,0.0,af578e1b-4cbb-46ab-bf1c-c29dfa4d9142-0,ENSMUSG00000071172,1.0,3,0,1,0,0,0,1,0.0,1,2,2,2,0,1,0,0,0,1,2,0,12.108961334181126,12.108961334181126,red
57,0.8216937633890713,5.8726402576009376,5.05094649421187,4564.312416751325,2.922547786567642,6483.427237648042,1.0,0.0,941b8097-5abe-4457-8832-e38f890ab704-0,ENSMUSG00000009687,0.0,5,0,0,0,0,0,9,1.0,3,1,1,0,0,0,0,0,0,9,1,0,12.156181828846094,12.156181828846094,red
68,0.7827614269562049,6.528426277982842,5.745664851026635,4846.328749659794,4.41027308431751,18395.64827456905,1.0,0.0,ENSMUST00000022295,ENSMUSG00000021773,0.0,3,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,12.242676557676065,12.242676557676065,red
120,2.635294487241863,8.53433751802796,5.899043030786096,5303.406017188103,2.461836303015002,15961.8694860512,1.0,0.0,ENSMUST00000137811,ENSMUSG00000098274,0.0392473118279569,4,0,0,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,1,0,12.372703486951986,12.372703486951986,red
